Teoscar Hernandez, teoscar-hernandez-606192
Yadiel Hernandez, yadiel-hernandez-628450
Dilson Herrera, dilson-herrera-599096
Kelvin Herrera, kelvin-herrera-516969
David Hess, david-hess-605276
Codi Heuer, codi-heuer-676051
Jason Heyward, jason-heyward-518792
Aaron Hicks, aaron-hicks-543305
Kyle Higashioka, kyle-higashioka-543309
Cam Hill, cam-hill-657611
Derek Hill, derek-hill-656537
Rich Hill, rich-hill-448179
Tim Hill, tim-hill-657612
Sam Hilliard, sam-hilliard-656541
Yoshihisa Hirano, yoshihisa-hirano-673633
Keston Hiura, keston-hiura-669374
Nico Hoerner, nico-hoerner-663538
Jeff Hoffman, jeff-hoffman-656546
Bryan Holaday, bryan-holaday-592407
Jonathan Holder, jonathan-holder-656547
Derek Holland, derek-holland-502706
Greg Holland, greg-holland-518813
Jordan Holloway, jordan-holloway-656548
Clay Holmes, clay-holmes-605280
Brock Holt, brock-holt-571788
Rhys Hoskins, rhys-hoskins-656555
Eric Hosmer, eric-hosmer-543333
Tanner Houck, tanner-houck-656557
Adrian Houser, adrian-houser-605288
Sam Howard, sam-howard-607572
Spencer Howard, spencer-howard-675921
James Hoyt, james-hoyt-624586
Dakota Hudson, dakota-hudson-641712
Daniel Hudson, daniel-hudson-543339
Joe Hudson, joe-hudson-621529
Sam Huff, sam-huff-669087
Jared Hughes, jared-hughes-453172
Tommy Hunter, tommy-hunter-488984
Jose Iglesias, jose-iglesias-578428
Raisel Iglesias, raisel-iglesias-628452
Ender Inciarte, ender-inciarte-542255
Cole Irvin, cole-irvin-608344
Alex Jackson, alex-jackson-656577
Luke Jackson, luke-jackson-592426
Josh James, josh-james-657624
Travis Jankowski, travis-jankowski-608671
Danny Jansen, danny-jansen-643376
Kenley Jansen, kenley-jansen-445276
Cristian Javier, cristian-javier-664299
Jon Jay, jon-jay-445055
Daulton Jefferies, daulton-jefferies-641726
Ryan Jeffers, ryan-jeffers-680777
Jeremy Jeffress, jeremy-jeffress-502026
Dany Jimenez, dany-jimenez-666204
Eloy Jimenez, eloy-jimenez-650391
Joe Jimenez, joe-jimenez-641729
Daniel Johnson, daniel-johnson-669288
Pierce Johnson, pierce-johnson-572955
JaCoby Jones, jacoby-jones-592444
Jahmai Jones, jahmai-jones-663330
Nate Jones, nate-jones-518858
Taylor Jones, taylor-jones-622100
Caleb Joseph, caleb-joseph-543376
Matt Joyce, matt-joyce-459964
Aaron Judge, aaron-judge-592450
Jakob Junis, jakob-junis-596001
Ariel Jurado, ariel-jurado-642558
Tommy Kahnle, tommy-kahnle-592454
Rob Kaminsky, rob-kaminsky-641739
James Kaprielian, james-kaprielian-621076
James Karinchak, james-karinchak-675916
Anthony Kay, anthony-kay-641743
Keone Kela, keone-kela-605309
Brad Keller, brad-keller-641745
Kyle Keller, kyle-keller-664918
Mitch Keller, mitch-keller-656605
Trevor Kelley, trevor-kelley-665001
Carson Kelly, carson-kelly-608348
Joe Kelly, joe-kelly-523260
Merrill Kelly, merrill-kelly-518876
Matt Kemp, matt-kemp-461314
Tony Kemp, tony-kemp-643393
Howie Kendrick, howie-kendrick-435062
Ian Kennedy, ian-kennedy-453178
Max Kepler, max-kepler-596146
Clayton Kershaw, clayton-kershaw-477132
Dallas Keuchel, dallas-keuchel-572971
Mike Kickham, mike-kickham-592464
Carter Kieboom, carter-kieboom-666198
Kevin Kiermaier, kevin-kiermaier-595281
Yusei Kikuchi, yusei-kikuchi-579328
Franklyn Kilome, franklyn-kilome-642584
Kwang Hyun Kim, kwang-hyun-kim-547942
Craig Kimbrel, craig-kimbrel-518886
Isiah Kiner-Falefa, isiah-kiner-falefa-643396
